baseline,level,model_seed,probe_seed,fit_examples,observer_layer,accuracy,balanced_accuracy,ce,represented_classes,balanced_majority_accuracy
random_features,2,0,12345,64,0,0.1241455078125,0.11804244075790665,9.70993709564209,16,0.0625
random_features,2,0,12345,64,1,0.1678466796875,0.16663049711495717,17.25373077392578,16,0.0625
random_features,2,0,12345,64,2,0.166748046875,0.16866766560873356,14.354366302490234,16,0.0625
random_features,2,0,12345,64,3,0.1724853515625,0.17443428566458763,13.593244552612305,16,0.0625
random_features,2,0,12345,64,4,0.1708984375,0.17371072099067425,13.464374542236328,16,0.0625
random_features,2,0,12345,64,5,0.1702880859375,0.17328245955186056,13.219017028808594,16,0.0625
random_features,2,0,12345,64,6,0.1646728515625,0.16811204412173136,13.045696258544922,16,0.0625
random_features,2,0,12345,64,7,0.1676025390625,0.1700003905809791,12.897327423095703,16,0.0625
random_features,2,0,12345,64,8,0.1619873046875,0.1651436583043066,12.892463684082031,16,0.0625
random_features,2,0,12345,128,0,0.0982666015625,0.10683173767246804,6.808183670043945,16,0.0625
random_features,2,0,12345,128,1,0.2567138671875,0.2523563655212774,17.980579376220703,16,0.0625
random_features,2,0,12345,128,2,0.256103515625,0.25375068626895775,13.519791603088379,16,0.0625
random_features,2,0,12345,128,3,0.2471923828125,0.24557614209496834,13.310179710388184,16,0.0625
random_features,2,0,12345,128,4,0.2391357421875,0.23802767070105305,13.25745964050293,16,0.0625
random_features,2,0,12345,128,5,0.245849609375,0.24654630272366918,13.142135620117188,16,0.0625
random_features,2,0,12345,128,6,0.242431640625,0.24317265640762392,13.023001670837402,16,0.0625
random_features,2,0,12345,128,7,0.245849609375,0.24696401347590988,13.077163696289062,16,0.0625
random_features,2,0,12345,128,8,0.2421875,0.24228581232810747,12.774027824401855,16,0.0625
random_features,2,0,12345,256,0,0.1181640625,0.12313118771303125,4.547638893127441,16,0.0625
random_features,2,0,12345,256,1,0.3583984375,0.3485418899872934,10.519920349121094,16,0.0625
random_features,2,0,12345,256,2,0.3607177734375,0.3531134917892107,10.105310440063477,16,0.0625
random_features,2,0,12345,256,3,0.370849609375,0.3662840859423876,9.939397811889648,16,0.0625
random_features,2,0,12345,256,4,0.366455078125,0.3664187145645047,9.301440238952637,16,0.0625
random_features,2,0,12345,256,5,0.3663330078125,0.3584917062004088,9.62744140625,16,0.0625
random_features,2,0,12345,256,6,0.3663330078125,0.3595919723637112,9.469083786010742,16,0.0625
random_features,2,0,12345,256,7,0.3692626953125,0.3643215359132803,9.288537979125977,16,0.0625
random_features,2,0,12345,256,8,0.37158203125,0.3674085221049922,9.355015754699707,16,0.0625
random_features,2,0,12345,512,0,0.11474609375,0.12872336152102878,3.067190408706665,16,0.0625
random_features,2,0,12345,512,1,0.506103515625,0.49726975105504084,6.148049354553223,16,0.0625
random_features,2,0,12345,512,2,0.5357666015625,0.5291750561672629,5.706867218017578,16,0.0625
random_features,2,0,12345,512,3,0.534912109375,0.5257428500368635,5.656538963317871,16,0.0625
random_features,2,0,12345,512,4,0.5323486328125,0.5260138611707279,5.150632858276367,16,0.0625
random_features,2,0,12345,512,5,0.526611328125,0.5203008469212271,5.237862586975098,16,0.0625
random_features,2,0,12345,512,6,0.5355224609375,0.5290499323039841,5.5160088539123535,16,0.0625
random_features,2,0,12345,512,7,0.5399169921875,0.5297697698478874,5.332300662994385,16,0.0625
random_features,2,0,12345,512,8,0.5418701171875,0.5306990318612386,5.422421455383301,16,0.0625
random_features,2,0,12345,1024,0,0.146728515625,0.1463851478586112,2.468735933303833,16,0.0625
random_features,2,0,12345,1024,1,0.720947265625,0.7162087505372144,2.203862190246582,16,0.0625
random_features,2,0,12345,1024,2,0.75830078125,0.7529988208613704,2.1105117797851562,16,0.0625
random_features,2,0,12345,1024,3,0.7593994140625,0.7490575315321414,2.0806450843811035,16,0.0625
random_features,2,0,12345,1024,4,0.7562255859375,0.7465388315994808,2.035463333129883,16,0.0625
random_features,2,0,12345,1024,5,0.7547607421875,0.7446457635681881,2.0319342613220215,16,0.0625
random_features,2,0,12345,1024,6,0.75830078125,0.7482479268655795,2.1333632469177246,16,0.0625
random_features,2,0,12345,1024,7,0.7618408203125,0.7500119457412502,2.050851821899414,16,0.0625
random_features,2,0,12345,1024,8,0.7607421875,0.7476640163367749,1.9850194454193115,16,0.0625
random_features,2,0,12345,2048,0,0.15185546875,0.1572535775881923,2.336940288543701,16,0.0625
random_features,2,0,12345,2048,1,0.9027099609375,0.8980042450407568,0.6056897640228271,16,0.0625
random_features,2,0,12345,2048,2,0.9222412109375,0.9157442055009608,0.5517763495445251,16,0.0625
random_features,2,0,12345,2048,3,0.919921875,0.9121637227624736,0.5071849822998047,16,0.0625
random_features,2,0,12345,2048,4,0.92431640625,0.9167293285383713,0.5050488114356995,16,0.0625
random_features,2,0,12345,2048,5,0.9202880859375,0.9123715855308387,0.5089815258979797,16,0.0625
random_features,2,0,12345,2048,6,0.927734375,0.9183415080849204,0.5073844194412231,16,0.0625
random_features,2,0,12345,2048,7,0.9266357421875,0.9177624370089404,0.5110962390899658,16,0.0625
random_features,2,0,12345,2048,8,0.9237060546875,0.9152044016221706,0.497911661863327,16,0.0625
random_features,2,0,12345,4096,0,0.1416015625,0.1555635309171055,2.3207855224609375,16,0.0625
random_features,2,0,12345,4096,1,0.974853515625,0.9751014450859152,0.21565623581409454,16,0.0625
random_features,2,0,12345,4096,2,0.98974609375,0.9887838882313186,0.11155670136213303,16,0.0625
random_features,2,0,12345,4096,3,0.990966796875,0.9893649284782005,0.07552482187747955,16,0.0625
random_features,2,0,12345,4096,4,0.9913330078125,0.9893737488002223,0.06748753041028976,16,0.0625
random_features,2,0,12345,4096,5,0.9876708984375,0.9873280165000043,0.082024484872818,16,0.0625
random_features,2,0,12345,4096,6,0.9896240234375,0.9890865916772871,0.06144630163908005,16,0.0625
random_features,2,0,12345,4096,7,0.98828125,0.987448312143014,0.06727287173271179,16,0.0625
random_features,2,0,12345,4096,8,0.991943359375,0.9910252078583139,0.06968612968921661,16,0.0625
random_features,2,0,12345,8192,0,0.1962890625,0.1564898336268804,2.2755465507507324,16,0.0625
random_features,2,0,12345,8192,1,0.9881591796875,0.9828730238356942,0.1545376181602478,16,0.0625
random_features,2,0,12345,8192,2,0.9970703125,0.9955779755190709,0.040240198373794556,16,0.0625
random_features,2,0,12345,8192,3,0.9991455078125,0.9986067356735674,0.026041248813271523,16,0.0625
random_features,2,0,12345,8192,4,0.9991455078125,0.9986067356735674,0.021348901093006134,16,0.0625
random_features,2,0,12345,8192,5,0.9996337890625,0.9994318181818183,0.01643643155694008,16,0.0625
random_features,2,0,12345,8192,6,0.9996337890625,0.9994318181818183,0.014447510242462158,16,0.0625
random_features,2,0,12345,8192,7,0.9991455078125,0.9986067356735674,0.015943892300128937,16,0.0625
random_features,2,0,12345,8192,8,0.99951171875,0.9991749174917491,0.014842767268419266,16,0.0625
random_features,2,0,12346,64,0,0.1241455078125,0.11804244075790665,9.70993709564209,16,0.0625
random_features,2,0,12346,64,1,0.1678466796875,0.16663049711495717,17.25373077392578,16,0.0625
random_features,2,0,12346,64,2,0.166748046875,0.16866766560873356,14.354366302490234,16,0.0625
random_features,2,0,12346,64,3,0.1724853515625,0.17443428566458763,13.593244552612305,16,0.0625
random_features,2,0,12346,64,4,0.1708984375,0.17371072099067425,13.464374542236328,16,0.0625
random_features,2,0,12346,64,5,0.1702880859375,0.17328245955186056,13.219017028808594,16,0.0625
random_features,2,0,12346,64,6,0.1646728515625,0.16811204412173136,13.045696258544922,16,0.0625
random_features,2,0,12346,64,7,0.1676025390625,0.1700003905809791,12.897327423095703,16,0.0625
random_features,2,0,12346,64,8,0.1619873046875,0.1651436583043066,12.892463684082031,16,0.0625
random_features,2,0,12346,128,0,0.0982666015625,0.10683173767246804,6.808183670043945,16,0.0625
random_features,2,0,12346,128,1,0.2567138671875,0.2523563655212774,17.980579376220703,16,0.0625
random_features,2,0,12346,128,2,0.256103515625,0.25375068626895775,13.519791603088379,16,0.0625
random_features,2,0,12346,128,3,0.2471923828125,0.24557614209496834,13.310179710388184,16,0.0625
random_features,2,0,12346,128,4,0.2391357421875,0.23802767070105305,13.25745964050293,16,0.0625
random_features,2,0,12346,128,5,0.245849609375,0.24654630272366918,13.142135620117188,16,0.0625
random_features,2,0,12346,128,6,0.242431640625,0.24317265640762392,13.023001670837402,16,0.0625
random_features,2,0,12346,128,7,0.245849609375,0.24696401347590988,13.077163696289062,16,0.0625
random_features,2,0,12346,128,8,0.2421875,0.24228581232810747,12.774027824401855,16,0.0625
random_features,2,0,12346,256,0,0.1181640625,0.12313118771303125,4.547638893127441,16,0.0625
random_features,2,0,12346,256,1,0.3583984375,0.3485418899872934,10.519920349121094,16,0.0625
random_features,2,0,12346,256,2,0.3607177734375,0.3531134917892107,10.105310440063477,16,0.0625
random_features,2,0,12346,256,3,0.370849609375,0.3662840859423876,9.939397811889648,16,0.0625
random_features,2,0,12346,256,4,0.366455078125,0.3664187145645047,9.301440238952637,16,0.0625
random_features,2,0,12346,256,5,0.3663330078125,0.3584917062004088,9.62744140625,16,0.0625
random_features,2,0,12346,256,6,0.3663330078125,0.3595919723637112,9.469083786010742,16,0.0625
random_features,2,0,12346,256,7,0.3692626953125,0.3643215359132803,9.288537979125977,16,0.0625
random_features,2,0,12346,256,8,0.37158203125,0.3674085221049922,9.355015754699707,16,0.0625
random_features,2,0,12346,512,0,0.11474609375,0.12872336152102878,3.067190408706665,16,0.0625
random_features,2,0,12346,512,1,0.506103515625,0.49726975105504084,6.148049354553223,16,0.0625
random_features,2,0,12346,512,2,0.5357666015625,0.5291750561672629,5.706867218017578,16,0.0625
random_features,2,0,12346,512,3,0.534912109375,0.5257428500368635,5.656538963317871,16,0.0625
random_features,2,0,12346,512,4,0.5323486328125,0.5260138611707279,5.150632858276367,16,0.0625
random_features,2,0,12346,512,5,0.526611328125,0.5203008469212271,5.237862586975098,16,0.0625
random_features,2,0,12346,512,6,0.5355224609375,0.5290499323039841,5.5160088539123535,16,0.0625
random_features,2,0,12346,512,7,0.5399169921875,0.5297697698478874,5.332300662994385,16,0.0625
random_features,2,0,12346,512,8,0.5418701171875,0.5306990318612386,5.422421455383301,16,0.0625
random_features,2,0,12346,1024,0,0.146728515625,0.1463851478586112,2.468735933303833,16,0.0625
random_features,2,0,12346,1024,1,0.720947265625,0.7162087505372144,2.203862190246582,16,0.0625
random_features,2,0,12346,1024,2,0.75830078125,0.7529988208613704,2.1105117797851562,16,0.0625
random_features,2,0,12346,1024,3,0.7593994140625,0.7490575315321414,2.0806450843811035,16,0.0625
random_features,2,0,12346,1024,4,0.7562255859375,0.7465388315994808,2.035463333129883,16,0.0625
random_features,2,0,12346,1024,5,0.7547607421875,0.7446457635681881,2.0319342613220215,16,0.0625
random_features,2,0,12346,1024,6,0.75830078125,0.7482479268655795,2.1333632469177246,16,0.0625
random_features,2,0,12346,1024,7,0.7618408203125,0.7500119457412502,2.050851821899414,16,0.0625
random_features,2,0,12346,1024,8,0.7607421875,0.7476640163367749,1.9850194454193115,16,0.0625
random_features,2,0,12346,2048,0,0.15185546875,0.1572535775881923,2.336940288543701,16,0.0625
random_features,2,0,12346,2048,1,0.9027099609375,0.8980042450407568,0.6056897640228271,16,0.0625
random_features,2,0,12346,2048,2,0.9222412109375,0.9157442055009608,0.5517763495445251,16,0.0625
random_features,2,0,12346,2048,3,0.919921875,0.9121637227624736,0.5071849822998047,16,0.0625
random_features,2,0,12346,2048,4,0.92431640625,0.9167293285383713,0.5050488114356995,16,0.0625
random_features,2,0,12346,2048,5,0.9202880859375,0.9123715855308387,0.5089815258979797,16,0.0625
random_features,2,0,12346,2048,6,0.927734375,0.9183415080849204,0.5073844194412231,16,0.0625
random_features,2,0,12346,2048,7,0.9266357421875,0.9177624370089404,0.5110962390899658,16,0.0625
random_features,2,0,12346,2048,8,0.9237060546875,0.9152044016221706,0.497911661863327,16,0.0625
random_features,2,0,12346,4096,0,0.1416015625,0.1555635309171055,2.3207855224609375,16,0.0625
random_features,2,0,12346,4096,1,0.974853515625,0.9751014450859152,0.21565623581409454,16,0.0625
random_features,2,0,12346,4096,2,0.98974609375,0.9887838882313186,0.11155670136213303,16,0.0625
random_features,2,0,12346,4096,3,0.990966796875,0.9893649284782005,0.07552482187747955,16,0.0625
random_features,2,0,12346,4096,4,0.9913330078125,0.9893737488002223,0.06748753041028976,16,0.0625
random_features,2,0,12346,4096,5,0.9876708984375,0.9873280165000043,0.082024484872818,16,0.0625
random_features,2,0,12346,4096,6,0.9896240234375,0.9890865916772871,0.06144630163908005,16,0.0625
random_features,2,0,12346,4096,7,0.98828125,0.987448312143014,0.06727287173271179,16,0.0625
random_features,2,0,12346,4096,8,0.991943359375,0.9910252078583139,0.06968612968921661,16,0.0625
random_features,2,0,12346,8192,0,0.1962890625,0.1564898336268804,2.2755465507507324,16,0.0625
random_features,2,0,12346,8192,1,0.9881591796875,0.9828730238356942,0.1545376181602478,16,0.0625
random_features,2,0,12346,8192,2,0.9970703125,0.9955779755190709,0.040240198373794556,16,0.0625
random_features,2,0,12346,8192,3,0.9991455078125,0.9986067356735674,0.026041248813271523,16,0.0625
random_features,2,0,12346,8192,4,0.9991455078125,0.9986067356735674,0.021348901093006134,16,0.0625
random_features,2,0,12346,8192,5,0.9996337890625,0.9994318181818183,0.01643643155694008,16,0.0625
random_features,2,0,12346,8192,6,0.9996337890625,0.9994318181818183,0.014447510242462158,16,0.0625
random_features,2,0,12346,8192,7,0.9991455078125,0.9986067356735674,0.015943892300128937,16,0.0625
random_features,2,0,12346,8192,8,0.99951171875,0.9991749174917491,0.014842767268419266,16,0.0625
random_features,2,0,12347,64,0,0.1241455078125,0.11804244075790665,9.70993709564209,16,0.0625
random_features,2,0,12347,64,1,0.1678466796875,0.16663049711495717,17.25373077392578,16,0.0625
random_features,2,0,12347,64,2,0.166748046875,0.16866766560873356,14.354366302490234,16,0.0625
random_features,2,0,12347,64,3,0.1724853515625,0.17443428566458763,13.593244552612305,16,0.0625
random_features,2,0,12347,64,4,0.1708984375,0.17371072099067425,13.464374542236328,16,0.0625
random_features,2,0,12347,64,5,0.1702880859375,0.17328245955186056,13.219017028808594,16,0.0625
random_features,2,0,12347,64,6,0.1646728515625,0.16811204412173136,13.045696258544922,16,0.0625
random_features,2,0,12347,64,7,0.1676025390625,0.1700003905809791,12.897327423095703,16,0.0625
random_features,2,0,12347,64,8,0.1619873046875,0.1651436583043066,12.892463684082031,16,0.0625
random_features,2,0,12347,128,0,0.0982666015625,0.10683173767246804,6.808183670043945,16,0.0625
random_features,2,0,12347,128,1,0.2567138671875,0.2523563655212774,17.980579376220703,16,0.0625
random_features,2,0,12347,128,2,0.256103515625,0.25375068626895775,13.519791603088379,16,0.0625
random_features,2,0,12347,128,3,0.2471923828125,0.24557614209496834,13.310179710388184,16,0.0625
random_features,2,0,12347,128,4,0.2391357421875,0.23802767070105305,13.25745964050293,16,0.0625
random_features,2,0,12347,128,5,0.245849609375,0.24654630272366918,13.142135620117188,16,0.0625
random_features,2,0,12347,128,6,0.242431640625,0.24317265640762392,13.023001670837402,16,0.0625
random_features,2,0,12347,128,7,0.245849609375,0.24696401347590988,13.077163696289062,16,0.0625
random_features,2,0,12347,128,8,0.2421875,0.24228581232810747,12.774027824401855,16,0.0625
random_features,2,0,12347,256,0,0.1181640625,0.12313118771303125,4.547638893127441,16,0.0625
random_features,2,0,12347,256,1,0.3583984375,0.3485418899872934,10.519920349121094,16,0.0625
random_features,2,0,12347,256,2,0.3607177734375,0.3531134917892107,10.105310440063477,16,0.0625
random_features,2,0,12347,256,3,0.370849609375,0.3662840859423876,9.939397811889648,16,0.0625
random_features,2,0,12347,256,4,0.366455078125,0.3664187145645047,9.301440238952637,16,0.0625
random_features,2,0,12347,256,5,0.3663330078125,0.3584917062004088,9.62744140625,16,0.0625
random_features,2,0,12347,256,6,0.3663330078125,0.3595919723637112,9.469083786010742,16,0.0625
random_features,2,0,12347,256,7,0.3692626953125,0.3643215359132803,9.288537979125977,16,0.0625
random_features,2,0,12347,256,8,0.37158203125,0.3674085221049922,9.355015754699707,16,0.0625
random_features,2,0,12347,512,0,0.11474609375,0.12872336152102878,3.067190408706665,16,0.0625
random_features,2,0,12347,512,1,0.506103515625,0.49726975105504084,6.148049354553223,16,0.0625
random_features,2,0,12347,512,2,0.5357666015625,0.5291750561672629,5.706867218017578,16,0.0625
random_features,2,0,12347,512,3,0.534912109375,0.5257428500368635,5.656538963317871,16,0.0625
random_features,2,0,12347,512,4,0.5323486328125,0.5260138611707279,5.150632858276367,16,0.0625
random_features,2,0,12347,512,5,0.526611328125,0.5203008469212271,5.237862586975098,16,0.0625
random_features,2,0,12347,512,6,0.5355224609375,0.5290499323039841,5.5160088539123535,16,0.0625
random_features,2,0,12347,512,7,0.5399169921875,0.5297697698478874,5.332300662994385,16,0.0625
random_features,2,0,12347,512,8,0.5418701171875,0.5306990318612386,5.422421455383301,16,0.0625
random_features,2,0,12347,1024,0,0.146728515625,0.1463851478586112,2.468735933303833,16,0.0625
random_features,2,0,12347,1024,1,0.720947265625,0.7162087505372144,2.203862190246582,16,0.0625
random_features,2,0,12347,1024,2,0.75830078125,0.7529988208613704,2.1105117797851562,16,0.0625
random_features,2,0,12347,1024,3,0.7593994140625,0.7490575315321414,2.0806450843811035,16,0.0625
random_features,2,0,12347,1024,4,0.7562255859375,0.7465388315994808,2.035463333129883,16,0.0625
random_features,2,0,12347,1024,5,0.7547607421875,0.7446457635681881,2.0319342613220215,16,0.0625
random_features,2,0,12347,1024,6,0.75830078125,0.7482479268655795,2.1333632469177246,16,0.0625
random_features,2,0,12347,1024,7,0.7618408203125,0.7500119457412502,2.050851821899414,16,0.0625
random_features,2,0,12347,1024,8,0.7607421875,0.7476640163367749,1.9850194454193115,16,0.0625
random_features,2,0,12347,2048,0,0.15185546875,0.1572535775881923,2.336940288543701,16,0.0625
random_features,2,0,12347,2048,1,0.9027099609375,0.8980042450407568,0.6056897640228271,16,0.0625
random_features,2,0,12347,2048,2,0.9222412109375,0.9157442055009608,0.5517763495445251,16,0.0625
random_features,2,0,12347,2048,3,0.919921875,0.9121637227624736,0.5071849822998047,16,0.0625
random_features,2,0,12347,2048,4,0.92431640625,0.9167293285383713,0.5050488114356995,16,0.0625
random_features,2,0,12347,2048,5,0.9202880859375,0.9123715855308387,0.5089815258979797,16,0.0625
random_features,2,0,12347,2048,6,0.927734375,0.9183415080849204,0.5073844194412231,16,0.0625
random_features,2,0,12347,2048,7,0.9266357421875,0.9177624370089404,0.5110962390899658,16,0.0625
random_features,2,0,12347,2048,8,0.9237060546875,0.9152044016221706,0.497911661863327,16,0.0625
random_features,2,0,12347,4096,0,0.1416015625,0.1555635309171055,2.3207855224609375,16,0.0625
random_features,2,0,12347,4096,1,0.974853515625,0.9751014450859152,0.21565623581409454,16,0.0625
random_features,2,0,12347,4096,2,0.98974609375,0.9887838882313186,0.11155670136213303,16,0.0625
random_features,2,0,12347,4096,3,0.990966796875,0.9893649284782005,0.07552482187747955,16,0.0625
random_features,2,0,12347,4096,4,0.9913330078125,0.9893737488002223,0.06748753041028976,16,0.0625
random_features,2,0,12347,4096,5,0.9876708984375,0.9873280165000043,0.082024484872818,16,0.0625
random_features,2,0,12347,4096,6,0.9896240234375,0.9890865916772871,0.06144630163908005,16,0.0625
random_features,2,0,12347,4096,7,0.98828125,0.987448312143014,0.06727287173271179,16,0.0625
random_features,2,0,12347,4096,8,0.991943359375,0.9910252078583139,0.06968612968921661,16,0.0625
random_features,2,0,12347,8192,0,0.1962890625,0.1564898336268804,2.2755465507507324,16,0.0625
random_features,2,0,12347,8192,1,0.9881591796875,0.9828730238356942,0.1545376181602478,16,0.0625
random_features,2,0,12347,8192,2,0.9970703125,0.9955779755190709,0.040240198373794556,16,0.0625
random_features,2,0,12347,8192,3,0.9991455078125,0.9986067356735674,0.026041248813271523,16,0.0625
random_features,2,0,12347,8192,4,0.9991455078125,0.9986067356735674,0.021348901093006134,16,0.0625
random_features,2,0,12347,8192,5,0.9996337890625,0.9994318181818183,0.01643643155694008,16,0.0625
random_features,2,0,12347,8192,6,0.9996337890625,0.9994318181818183,0.014447510242462158,16,0.0625
random_features,2,0,12347,8192,7,0.9991455078125,0.9986067356735674,0.015943892300128937,16,0.0625
