baseline,level,model_seed,probe_seed,fit_examples,observer_layer,accuracy,balanced_accuracy,ce,represented_classes,balanced_majority_accuracy
shuffled_labels,2,0,12345,64,0,0.0732421875,0.0622157374766615,12.097488403320312,16,0.0625
shuffled_labels,2,0,12345,64,1,0.0677490234375,0.06217554857291263,20.779518127441406,16,0.0625
shuffled_labels,2,0,12345,64,2,0.0670166015625,0.06115996566260058,17.054981231689453,16,0.0625
shuffled_labels,2,0,12345,64,3,0.0655517578125,0.05964432857281436,16.037582397460938,16,0.0625
shuffled_labels,2,0,12345,64,4,0.0665283203125,0.0598258454341046,15.705253601074219,16,0.0625
shuffled_labels,2,0,12345,64,5,0.066162109375,0.06002669448666523,15.684228897094727,16,0.0625
shuffled_labels,2,0,12345,64,6,0.0657958984375,0.05999974894362772,15.770256042480469,16,0.0625
shuffled_labels,2,0,12345,64,7,0.0657958984375,0.058844290202167075,15.480899810791016,16,0.0625
shuffled_labels,2,0,12345,64,8,0.0633544921875,0.05696349383123431,15.32183837890625,16,0.0625
shuffled_labels,2,0,12345,128,0,0.0771484375,0.06813920352718993,9.424674034118652,16,0.0625
shuffled_labels,2,0,12345,128,1,0.0660400390625,0.06515056015617277,25.82482147216797,16,0.0625
shuffled_labels,2,0,12345,128,2,0.0667724609375,0.06535726890490495,21.525909423828125,16,0.0625
shuffled_labels,2,0,12345,128,3,0.0673828125,0.06578933379176355,20.31861114501953,16,0.0625
shuffled_labels,2,0,12345,128,4,0.0660400390625,0.06452251467375,19.920047760009766,16,0.0625
shuffled_labels,2,0,12345,128,5,0.065185546875,0.06456203915920014,19.608295440673828,16,0.0625
shuffled_labels,2,0,12345,128,6,0.0638427734375,0.06330480983797017,19.205419540405273,16,0.0625
shuffled_labels,2,0,12345,128,7,0.0653076171875,0.06383108088535039,18.918357849121094,16,0.0625
shuffled_labels,2,0,12345,128,8,0.0655517578125,0.06431784115279479,18.692350387573242,16,0.0625
shuffled_labels,2,0,12345,256,0,0.0714111328125,0.06213605586580484,7.166112899780273,16,0.0625
shuffled_labels,2,0,12345,256,1,0.063720703125,0.05892857200264226,17.22399139404297,16,0.0625
shuffled_labels,2,0,12345,256,2,0.066162109375,0.06053759463495259,17.200210571289062,16,0.0625
shuffled_labels,2,0,12345,256,3,0.0657958984375,0.06034092658686304,16.964962005615234,16,0.0625
shuffled_labels,2,0,12345,256,4,0.0640869140625,0.058985850687644,17.134578704833984,16,0.0625
shuffled_labels,2,0,12345,256,5,0.066162109375,0.060285265645969914,17.379528045654297,16,0.0625
shuffled_labels,2,0,12345,256,6,0.06591796875,0.0615019176044521,17.559904098510742,16,0.0625
shuffled_labels,2,0,12345,256,7,0.06640625,0.06221174172600718,17.185802459716797,16,0.0625
shuffled_labels,2,0,12345,256,8,0.068115234375,0.06322430602344098,17.055099487304688,16,0.0625
shuffled_labels,2,0,12345,512,0,0.0826416015625,0.060646058612690554,4.222349643707275,16,0.0625
shuffled_labels,2,0,12345,512,1,0.0631103515625,0.05787545011162018,11.988174438476562,16,0.0625
shuffled_labels,2,0,12345,512,2,0.06298828125,0.057918605365999735,13.3624267578125,16,0.0625
shuffled_labels,2,0,12345,512,3,0.062744140625,0.05755261344778045,13.921117782592773,16,0.0625
shuffled_labels,2,0,12345,512,4,0.0609130859375,0.05555506626522912,13.88496208190918,16,0.0625
shuffled_labels,2,0,12345,512,5,0.064208984375,0.05890231688272035,14.2723388671875,16,0.0625
shuffled_labels,2,0,12345,512,6,0.064208984375,0.059330665792322865,14.396345138549805,16,0.0625
shuffled_labels,2,0,12345,512,7,0.0640869140625,0.058580417763438454,14.321544647216797,16,0.0625
shuffled_labels,2,0,12345,512,8,0.0625,0.057062485250448804,14.469221115112305,16,0.0625
shuffled_labels,2,0,12345,1024,0,0.0841064453125,0.06133659242194189,3.0250601768493652,16,0.0625
shuffled_labels,2,0,12345,1024,1,0.0650634765625,0.0612590282607013,7.350983619689941,16,0.0625
shuffled_labels,2,0,12345,1024,2,0.0634765625,0.06056977511604243,9.78429889678955,16,0.0625
shuffled_labels,2,0,12345,1024,3,0.062744140625,0.05943685707905134,11.010581016540527,16,0.0625
shuffled_labels,2,0,12345,1024,4,0.064697265625,0.06062997578737076,11.678400039672852,16,0.0625
shuffled_labels,2,0,12345,1024,5,0.0634765625,0.06046390083602511,12.164308547973633,16,0.0625
shuffled_labels,2,0,12345,1024,6,0.066162109375,0.06251716072173427,12.629608154296875,16,0.0625
shuffled_labels,2,0,12345,1024,7,0.0650634765625,0.06139398157122232,12.492513656616211,16,0.0625
shuffled_labels,2,0,12345,1024,8,0.0635986328125,0.060345305118911924,12.427482604980469,16,0.0625
shuffled_labels,2,0,12345,2048,0,0.087158203125,0.06224075559687325,2.7924368381500244,16,0.0625
shuffled_labels,2,0,12345,2048,1,0.0679931640625,0.06312444372923978,4.246394157409668,16,0.0625
shuffled_labels,2,0,12345,2048,2,0.0677490234375,0.06371801401510704,4.943636894226074,16,0.0625
shuffled_labels,2,0,12345,2048,3,0.06103515625,0.05774643083272139,5.396185874938965,16,0.0625
shuffled_labels,2,0,12345,2048,4,0.0648193359375,0.06182548769730033,5.74417781829834,16,0.0625
shuffled_labels,2,0,12345,2048,5,0.0645751953125,0.060065792015435035,6.044979095458984,16,0.0625
shuffled_labels,2,0,12345,2048,6,0.0650634765625,0.06082580242755426,6.090149879455566,16,0.0625
shuffled_labels,2,0,12345,2048,7,0.0640869140625,0.05977993265479179,6.163412094116211,16,0.0625
shuffled_labels,2,0,12345,2048,8,0.0633544921875,0.05866353372784042,6.368738651275635,16,0.0625
shuffled_labels,2,0,12345,4096,0,0.08740234375,0.06348585643408684,2.7603890895843506,16,0.0625
shuffled_labels,2,0,12345,4096,1,0.074462890625,0.06477436599278055,3.3126654624938965,16,0.0625
shuffled_labels,2,0,12345,4096,2,0.0694580078125,0.06230010935024333,3.4729397296905518,16,0.0625
shuffled_labels,2,0,12345,4096,3,0.064697265625,0.05868743100893413,3.5343475341796875,16,0.0625
shuffled_labels,2,0,12345,4096,4,0.0665283203125,0.05946903309809025,3.5834450721740723,16,0.0625
shuffled_labels,2,0,12345,4096,5,0.0648193359375,0.058370194545002474,3.600093364715576,16,0.0625
shuffled_labels,2,0,12345,4096,6,0.0623779296875,0.055983532488084256,3.620893955230713,16,0.0625
shuffled_labels,2,0,12345,4096,7,0.065185546875,0.05857309750499082,3.6206986904144287,16,0.0625
shuffled_labels,2,0,12345,4096,8,0.070068359375,0.06413122742446684,3.6094865798950195,16,0.0625
shuffled_labels,2,0,12345,8192,0,0.0863037109375,0.06269841989320163,2.7429909706115723,16,0.0625
shuffled_labels,2,0,12345,8192,1,0.0762939453125,0.06295033912180364,2.9520263671875,16,0.0625
shuffled_labels,2,0,12345,8192,2,0.0750732421875,0.06385795768434907,2.9965314865112305,16,0.0625
shuffled_labels,2,0,12345,8192,3,0.0736083984375,0.06278667844104448,3.003155469894409,16,0.0625
shuffled_labels,2,0,12345,8192,4,0.07373046875,0.06370890953845164,3.0246992111206055,16,0.0625
shuffled_labels,2,0,12345,8192,5,0.0723876953125,0.062190326951615395,3.0419657230377197,16,0.0625
shuffled_labels,2,0,12345,8192,6,0.0692138671875,0.05854899440468185,3.0440289974212646,16,0.0625
shuffled_labels,2,0,12345,8192,7,0.0687255859375,0.059864944588906004,3.0462169647216797,16,0.0625
shuffled_labels,2,0,12345,8192,8,0.0701904296875,0.06092855447146459,3.0519018173217773,16,0.0625
shuffled_labels,2,0,12346,64,0,0.0732421875,0.0622157374766615,12.097488403320312,16,0.0625
shuffled_labels,2,0,12346,64,1,0.0677490234375,0.06217554857291263,20.779518127441406,16,0.0625
shuffled_labels,2,0,12346,64,2,0.0670166015625,0.06115996566260058,17.054981231689453,16,0.0625
shuffled_labels,2,0,12346,64,3,0.0655517578125,0.05964432857281436,16.037582397460938,16,0.0625
shuffled_labels,2,0,12346,64,4,0.0665283203125,0.0598258454341046,15.705253601074219,16,0.0625
shuffled_labels,2,0,12346,64,5,0.066162109375,0.06002669448666523,15.684228897094727,16,0.0625
shuffled_labels,2,0,12346,64,6,0.0657958984375,0.05999974894362772,15.770256042480469,16,0.0625
shuffled_labels,2,0,12346,64,7,0.0657958984375,0.058844290202167075,15.480899810791016,16,0.0625
shuffled_labels,2,0,12346,64,8,0.0633544921875,0.05696349383123431,15.32183837890625,16,0.0625
shuffled_labels,2,0,12346,128,0,0.0771484375,0.06813920352718993,9.424674034118652,16,0.0625
shuffled_labels,2,0,12346,128,1,0.0660400390625,0.06515056015617277,25.82482147216797,16,0.0625
shuffled_labels,2,0,12346,128,2,0.0667724609375,0.06535726890490495,21.525909423828125,16,0.0625
shuffled_labels,2,0,12346,128,3,0.0673828125,0.06578933379176355,20.31861114501953,16,0.0625
shuffled_labels,2,0,12346,128,4,0.0660400390625,0.06452251467375,19.920047760009766,16,0.0625
shuffled_labels,2,0,12346,128,5,0.065185546875,0.06456203915920014,19.608295440673828,16,0.0625
shuffled_labels,2,0,12346,128,6,0.0638427734375,0.06330480983797017,19.205419540405273,16,0.0625
shuffled_labels,2,0,12346,128,7,0.0653076171875,0.06383108088535039,18.918357849121094,16,0.0625
shuffled_labels,2,0,12346,128,8,0.0655517578125,0.06431784115279479,18.692350387573242,16,0.0625
shuffled_labels,2,0,12346,256,0,0.0714111328125,0.06213605586580484,7.166112899780273,16,0.0625
shuffled_labels,2,0,12346,256,1,0.063720703125,0.05892857200264226,17.22399139404297,16,0.0625
shuffled_labels,2,0,12346,256,2,0.066162109375,0.06053759463495259,17.200210571289062,16,0.0625
shuffled_labels,2,0,12346,256,3,0.0657958984375,0.06034092658686304,16.964962005615234,16,0.0625
shuffled_labels,2,0,12346,256,4,0.0640869140625,0.058985850687644,17.134578704833984,16,0.0625
shuffled_labels,2,0,12346,256,5,0.066162109375,0.060285265645969914,17.379528045654297,16,0.0625
shuffled_labels,2,0,12346,256,6,0.06591796875,0.0615019176044521,17.559904098510742,16,0.0625
shuffled_labels,2,0,12346,256,7,0.06640625,0.06221174172600718,17.185802459716797,16,0.0625
shuffled_labels,2,0,12346,256,8,0.068115234375,0.06322430602344098,17.055099487304688,16,0.0625
shuffled_labels,2,0,12346,512,0,0.0826416015625,0.060646058612690554,4.222349643707275,16,0.0625
shuffled_labels,2,0,12346,512,1,0.0631103515625,0.05787545011162018,11.988174438476562,16,0.0625
shuffled_labels,2,0,12346,512,2,0.06298828125,0.057918605365999735,13.3624267578125,16,0.0625
shuffled_labels,2,0,12346,512,3,0.062744140625,0.05755261344778045,13.921117782592773,16,0.0625
shuffled_labels,2,0,12346,512,4,0.0609130859375,0.05555506626522912,13.88496208190918,16,0.0625
shuffled_labels,2,0,12346,512,5,0.064208984375,0.05890231688272035,14.2723388671875,16,0.0625
shuffled_labels,2,0,12346,512,6,0.064208984375,0.059330665792322865,14.396345138549805,16,0.0625
shuffled_labels,2,0,12346,512,7,0.0640869140625,0.058580417763438454,14.321544647216797,16,0.0625
shuffled_labels,2,0,12346,512,8,0.0625,0.057062485250448804,14.469221115112305,16,0.0625
shuffled_labels,2,0,12346,1024,0,0.0841064453125,0.06133659242194189,3.0250601768493652,16,0.0625
shuffled_labels,2,0,12346,1024,1,0.0650634765625,0.0612590282607013,7.350983619689941,16,0.0625
shuffled_labels,2,0,12346,1024,2,0.0634765625,0.06056977511604243,9.78429889678955,16,0.0625
shuffled_labels,2,0,12346,1024,3,0.062744140625,0.05943685707905134,11.010581016540527,16,0.0625
shuffled_labels,2,0,12346,1024,4,0.064697265625,0.06062997578737076,11.678400039672852,16,0.0625
shuffled_labels,2,0,12346,1024,5,0.0634765625,0.06046390083602511,12.164308547973633,16,0.0625
shuffled_labels,2,0,12346,1024,6,0.066162109375,0.06251716072173427,12.629608154296875,16,0.0625
shuffled_labels,2,0,12346,1024,7,0.0650634765625,0.06139398157122232,12.492513656616211,16,0.0625
shuffled_labels,2,0,12346,1024,8,0.0635986328125,0.060345305118911924,12.427482604980469,16,0.0625
shuffled_labels,2,0,12346,2048,0,0.087158203125,0.06224075559687325,2.7924368381500244,16,0.0625
shuffled_labels,2,0,12346,2048,1,0.0679931640625,0.06312444372923978,4.246394157409668,16,0.0625
shuffled_labels,2,0,12346,2048,2,0.0677490234375,0.06371801401510704,4.943636894226074,16,0.0625
shuffled_labels,2,0,12346,2048,3,0.06103515625,0.05774643083272139,5.396185874938965,16,0.0625
shuffled_labels,2,0,12346,2048,4,0.0648193359375,0.06182548769730033,5.74417781829834,16,0.0625
shuffled_labels,2,0,12346,2048,5,0.0645751953125,0.060065792015435035,6.044979095458984,16,0.0625
shuffled_labels,2,0,12346,2048,6,0.0650634765625,0.06082580242755426,6.090149879455566,16,0.0625
shuffled_labels,2,0,12346,2048,7,0.0640869140625,0.05977993265479179,6.163412094116211,16,0.0625
shuffled_labels,2,0,12346,2048,8,0.0633544921875,0.05866353372784042,6.368738651275635,16,0.0625
shuffled_labels,2,0,12346,4096,0,0.08740234375,0.06348585643408684,2.7603890895843506,16,0.0625
shuffled_labels,2,0,12346,4096,1,0.074462890625,0.06477436599278055,3.3126654624938965,16,0.0625
shuffled_labels,2,0,12346,4096,2,0.0694580078125,0.06230010935024333,3.4729397296905518,16,0.0625
shuffled_labels,2,0,12346,4096,3,0.064697265625,0.05868743100893413,3.5343475341796875,16,0.0625
shuffled_labels,2,0,12346,4096,4,0.0665283203125,0.05946903309809025,3.5834450721740723,16,0.0625
shuffled_labels,2,0,12346,4096,5,0.0648193359375,0.058370194545002474,3.600093364715576,16,0.0625
shuffled_labels,2,0,12346,4096,6,0.0623779296875,0.055983532488084256,3.620893955230713,16,0.0625
shuffled_labels,2,0,12346,4096,7,0.065185546875,0.05857309750499082,3.6206986904144287,16,0.0625
shuffled_labels,2,0,12346,4096,8,0.070068359375,0.06413122742446684,3.6094865798950195,16,0.0625
shuffled_labels,2,0,12346,8192,0,0.0863037109375,0.06269841989320163,2.7429909706115723,16,0.0625
shuffled_labels,2,0,12346,8192,1,0.0762939453125,0.06295033912180364,2.9520263671875,16,0.0625
