grammar_seed,model_seed,target,transition,from_level,to_level,tau_interval,tau_interval_status,ntp_tau_interval,ntp_tau_interval_status,delta_tau_interval_vs_ntp,delta_tau_interval_vs_ntp_status
0,0,ntp,1->2,1,2,0,observed,0,observed,0,observed
0,0,ntp,2->3,2,3,2000,observed,2000,observed,0,observed
0,0,ntp,3->4,3,4,,unavailable,,unavailable,,unavailable
0,0,target_0,1->2,1,2,0,observed,0,observed,0,observed
0,0,target_0,2->3,2,3,1400,observed,2000,observed,-600,observed
0,0,target_0,3->4,3,4,2800,observed,,unavailable,,unavailable
0,0,target_1,1->2,1,2,0,observed,0,observed,0,observed
0,0,target_1,2->3,2,3,1700,observed,2000,observed,-300,observed
0,0,target_1,3->4,3,4,3100,observed,,unavailable,,unavailable
0,0,target_2,1->2,1,2,0,observed,0,observed,0,observed
0,0,target_2,2->3,2,3,1600,observed,2000,observed,-400,observed
0,0,target_2,3->4,3,4,3200,observed,,unavailable,,unavailable
0,0,target_4,1->2,1,2,0,observed,0,observed,0,observed
0,0,target_4,2->3,2,3,1600,observed,2000,observed,-400,observed
0,0,target_4,3->4,3,4,2400,observed,,unavailable,,unavailable
0,0,target_6,1->2,1,2,0,observed,0,observed,0,observed
0,0,target_6,2->3,2,3,1700,observed,2000,observed,-300,observed
0,0,target_6,3->4,3,4,2200,observed,,unavailable,,unavailable
