grammar_seed,model_seed,target,transition,from_level,to_level,tau_interval,tau_interval_status,ntp_tau_interval,ntp_tau_interval_status,delta_tau_interval_vs_ntp,delta_tau_interval_vs_ntp_status
0,0,ntp,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,ntp,2->3,2,3,2000,observed,2000,observed,0,observed
0,0,ntp,3->4,3,4,3000,observed,3000,observed,0,observed
0,0,target_0,1->2,1,2,1000,observed,1250,observed,-250,observed
0,0,target_0,2->3,2,3,1500,observed,2000,observed,-500,observed
0,0,target_0,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_1,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_1,2->3,2,3,1500,observed,2000,observed,-500,observed
0,0,target_1,3->4,3,4,3000,observed,3000,observed,0,observed
0,0,target_2,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_2,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_2,3->4,3,4,3000,observed,3000,observed,0,observed
0,0,target_3,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_3,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_3,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_4,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_4,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_4,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_5,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_5,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_5,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_6,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_6,2->3,2,3,1500,observed,2000,observed,-500,observed
0,0,target_6,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_7,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_7,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_7,3->4,3,4,2750,observed,3000,observed,-250,observed
0,0,target_8,1->2,1,2,1250,observed,1250,observed,0,observed
0,0,target_8,2->3,2,3,1750,observed,2000,observed,-250,observed
0,0,target_8,3->4,3,4,2500,observed,3000,observed,-500,observed
